epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,709.662,0.7278,0.63162,0.86261,0.76677,0.91459,0.80177,0.64029,0.82573,0.66138,0.84508,0.0003565,0.0003565,0.0003565
67,719.956,0.72185,0.62855,0.85428,0.75512,0.91771,0.79669,0.6354,0.8413,0.6596,0.8451,0.0003466,0.0003466,0.0003466
68,730.038,0.72395,0.62596,0.87149,0.75751,0.91465,0.79858,0.63247,0.85598,0.66163,0.8482,0.0003367,0.0003367,0.0003367
69,740.591,0.74722,0.66301,0.86212,0.77056,0.92044,0.80226,0.63355,0.85356,0.66039,0.84895,0.0003268,0.0003268,0.0003268
70,752.712,0.71517,0.60533,0.85566,0.77447,0.9168,0.80038,0.63791,0.84113,0.65463,0.84714,0.0003169,0.0003169,0.0003169
71,764.1,0.72224,0.61099,0.85705,0.78243,0.91656,0.80301,0.64186,0.83655,0.64853,0.84444,0.000307,0.000307,0.000307
72,774.689,0.72995,0.63245,0.8668,0.78243,0.91656,0.80301,0.64186,0.83655,0.64853,0.84444,0.0002971,0.0002971,0.0002971
73,786.12,0.76223,0.64024,0.85775,0.79103,0.91474,0.80484,0.64665,0.84472,0.64755,0.84353,0.0002872,0.0002872,0.0002872
74,796.681,0.71019,0.59723,0.84753,0.77905,0.90645,0.80297,0.6451,0.83816,0.64707,0.84351,0.0002773,0.0002773,0.0002773
75,807.453,0.72202,0.61813,0.84931,0.79086,0.90998,0.80375,0.64295,0.8267,0.64525,0.84361,0.0002674,0.0002674,0.0002674
76,817.882,0.71707,0.60228,0.86179,0.77667,0.90702,0.79634,0.63769,0.82631,0.64385,0.84556,0.0002575,0.0002575,0.0002575
77,827.96,0.69388,0.60451,0.85159,0.78966,0.90539,0.79641,0.63427,0.82857,0.6401,0.84735,0.0002476,0.0002476,0.0002476
78,838.38,0.71984,0.63309,0.8813,0.78778,0.90392,0.79659,0.63372,0.82912,0.63885,0.84701,0.0002377,0.0002377,0.0002377
79,848.626,0.70973,0.59168,0.85072,0.78572,0.90431,0.79547,0.63845,0.84121,0.64433,0.8458,0.0002278,0.0002278,0.0002278
80,859.009,0.69233,0.60379,0.84225,0.78572,0.90431,0.79547,0.63845,0.84121,0.64433,0.8458,0.0002179,0.0002179,0.0002179
81,869.317,0.68721,0.5902,0.84554,0.78381,0.89423,0.79289,0.63747,0.85207,0.64638,0.84546,0.000208,0.000208,0.000208
82,879.623,0.73206,0.6132,0.85531,0.78814,0.8913,0.7919,0.63816,0.84839,0.63935,0.84498,0.0001981,0.0001981,0.0001981
83,890.226,0.67304,0.58586,0.84352,0.77982,0.88934,0.79486,0.63779,0.84159,0.63597,0.8449,0.0001882,0.0001882,0.0001882
84,900.9,0.70319,0.5864,0.85174,0.7777,0.89076,0.79221,0.63514,0.83302,0.63275,0.84485,0.0001783,0.0001783,0.0001783
85,911.263,0.70866,0.59769,0.84813,0.78601,0.9041,0.79331,0.63203,0.82862,0.62966,0.84535,0.0001684,0.0001684,0.0001684
86,921.913,0.68472,0.57153,0.848,0.78843,0.90769,0.79176,0.63181,0.82825,0.62967,0.84642,0.0001585,0.0001585,0.0001585
87,932.34,0.6946,0.58164,0.85244,0.79039,0.91161,0.79509,0.6303,0.83272,0.63073,0.84698,0.0001486,0.0001486,0.0001486
88,942.837,0.68389,0.57612,0.85008,0.79039,0.91161,0.79509,0.6303,0.83272,0.63073,0.84698,0.0001387,0.0001387,0.0001387
89,953.609,0.69841,0.57614,0.8654,0.78926,0.91159,0.79645,0.63106,0.83318,0.62714,0.84672,0.0001288,0.0001288,0.0001288
90,963.839,0.69223,0.59782,0.8659,0.78776,0.91235,0.79606,0.63541,0.82969,0.62322,0.8457,0.0001189,0.0001189,0.0001189
91,974.755,0.67855,0.65772,0.841,0.77658,0.91376,0.79265,0.63074,0.82678,0.62194,0.84491,0.000109,0.000109,0.000109
92,985.073,0.69691,0.66269,0.83631,0.77421,0.91591,0.79404,0.63631,0.82798,0.62064,0.84434,9.91e-05,9.91e-05,9.91e-05
93,995.244,0.6972,0.62707,0.84446,0.77116,0.91558,0.79642,0.63677,0.83175,0.6215,0.84451,8.92e-05,8.92e-05,8.92e-05
94,1005.56,0.69009,0.63687,0.83432,0.7642,0.91674,0.79783,0.63876,0.83692,0.62619,0.84483,7.93e-05,7.93e-05,7.93e-05
95,1015.71,0.6893,0.61239,0.8334,0.76351,0.91674,0.79725,0.6385,0.83882,0.63251,0.84532,6.94e-05,6.94e-05,6.94e-05
96,1025.87,0.69696,0.60911,0.84183,0.76351,0.91674,0.79725,0.6385,0.83882,0.63251,0.84532,5.95e-05,5.95e-05,5.95e-05
97,1035.97,0.68806,0.62093,0.83385,0.7647,0.91482,0.79436,0.6374,0.8379,0.63487,0.84554,4.96e-05,4.96e-05,4.96e-05
98,1045.76,0.692,0.60809,0.84526,0.7664,0.91419,0.79487,0.63692,0.83543,0.63497,0.84574,3.97e-05,3.97e-05,3.97e-05
99,1055.4,0.66925,0.59866,0.83307,0.77265,0.91591,0.79628,0.636,0.83422,0.63414,0.84588,2.98e-05,2.98e-05,2.98e-05
100,1065.44,0.66204,0.58742,0.83309,0.77513,0.91582,0.79561,0.6374,0.83345,0.63432,0.84644,1.99e-05,1.99e-05,1.99e-05
